Time (sec),Voltage (V),AccX (m/s^2),AccY (m/s^2),Gyro (deg/sec),Gyro45(deg/sec),Theta (deg)
0,0,0.144755,9.81029,43.5059,43.7183,1.03751
0.01,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.02,0,0.144755,9.81029,43.5059,43.7183,1.03751
0.03,0,0.144755,9.81029,43.5059,44.4266,1.03751
0.04,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.05,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.06,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.07,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.08,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.09,0,0.144755,9.81029,43.5059,44.0725,1.03751
0.1,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.11,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.12,0,0.144755,9.81029,43.5059,44.0725,1.03751
0.13,0,0.0481096,9.81029,43.5059,44.0725,1.03751
0.14,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.15,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.16,0,0.144755,9.81029,43.5059,43.7183,0.777817
0.17,0,0.144755,9.81029,43.5059,43.7183,0.777817
0.18,0,0.144755,9.81029,43.5059,43.7183,0.777817
0.19,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.2,0,0.144755,9.81029,43.5059,43.7183,0.777817
0.21,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.22,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.23,0,0.144755,9.81029,43.5059,44.0725,0.777817
0.24,0,0.144755,9.81029,43.5059,43.7183,0.777817
0.25,-0,0.144755,9.81029,43.5059,44.0725,1.03751
0.26,-0,0.144755,9.81029,43.5059,44.0725,0.777817
0.27,-0,0.144755,9.81029,43.5059,44.0725,0.777817
0.28,-0,0.144755,9.81029,43.5059,44.0725,0.777817
0.29,-0,0.144755,9.81029,43.5059,44.0725,0.777817
0.3,-0,0.144755,9.81029,43.5059,44.0725,0.777817
